Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"EUDability: A new construct at the intersection of End-User Development and Computational Thinking.","Barricelli, Barbara Rita; Fogli, Daniela; Locoro, Angela","Journal of Systems & Software",="01641212",,="Jan2023","195",,"N.PAG","1","160506929","10.1016/j.jss.2022.111516","Elsevier B.V.","Article","SUSTAINABILITY; DIGITAL transformation; SOCIAL factors; SOCIAL change","Computational Thinking; Digital transformation; End-User Development; EUDability; Life-long learning; Sustainable workplace","The sustainable and digital future of work may imply a dramatic equilibrium change between social factors and technological ones. We argue that providing suitable tools to support End-User Development (EUD) in the workplace could represent a way to cope with such future changes. The contributions of this paper include the analysis and characterization of the most used EUD techniques and their crossover with a new conveyed model of Computational Thinking. The synthesis between these aspects is made explicit in the construct of EUDability, which is designed to capture the quality dimensions of EUD systems suitable to work scenarios where better roles and better tools for individuals may be shaped. EUDability has to do with identifying and assessing the difficulties of EUD techniques on one side and the Computational Thinking skills held by individuals on the other side. • A characterization of End-User Development applied in work scenarios is proposed. • The crossover between End-User Development and Computational Thinking is analyzed. • The definition of the EUDability construct is presented. [ABSTRACT FROM AUTHOR] Copyright of Journal of Systems & Software is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=160506929&lang=es&site=ehost-live"
"Computational LEED: computational thinking strategies and Visual Programming Languages to support environmental design and LEED credits achievement.","Nocerino, Giovanni; Leone, Mattia Federico","Energy & Buildings",="03787788",,="Jan2023","278",,"N.PAG","1","160436569","10.1016/j.enbuild.2022.112626","Elsevier B.V.","Article","PROGRAMMING languages; COMPUTER literacy; LEADERSHIP in Energy & Environmental Design; COMPUTER programming","Algorithm Aided Design; Computational Thinking; Environmental Design; LEED; Visual Programming Language","Since environmental and energy issues and challenges continues to emerge as key global concerns, Green Building Certification Systems are becoming increasingly relevant in the construction industry. In this regard, LEED (Leadership in Energy and Environmental Design) is considered one of the most widely recognized environmental assessment methods used globally in the construction industry today. However, due to the high level of complexity of the LEED system, the tools usually used to verify the achievement of the credits lack of ""design friendliness"" and hardly communicate effectively with the conventional tools used by architects and engineers (e.g. CAD, BIM). This makes difficult to fully take into account, especially at the early design stage, the many interconnected aspects that contribute to the green certification, with consequent issues often arising in the design validation and/or construction phases, resulting in time delays and cost increments. The application of innovative problem-solving methods, such as computational thinking, together with coding techniques, represents an effective way to deal with this issue. This kind of methodology, in fact, allows the requirements of a specific LEED credit to be digitally parametrised and flexibly incorporated into a ""designer friendly"" working environment. In particular, Visual Programming Languages (VPLs), due to their high simplicity of usage, allow architects and engineers to develop algorithms and thus implement their technical knowledge in the field of environmental design with computer programming skills, useful to improve their tools and keep them constantly updated. The aim of this paper is to illustrate a methodology through which, by merging computational thinking strategies with VPL tools, is possible to keep under control, in the same working environment, all the parameters required to verify in real time the achievement of LEED credits. To demonstrate the flexibility of the approach, dedicated tools developed for the verification of some specific credits at different scales – neighbourhood and building – are illustrated as operational examples of the proposed methodology. [ABSTRACT FROM AUTHOR] Copyright of Energy & Buildings is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=160436569&lang=es&site=ehost-live"
"Exemplifying Computational Thinking Scenarios in the Age of COVID-19: Examining the Pandemic's Effects in a Project-Based MOOC.","Pinto, Juan D.; Quintana, Chris; Quintana, Rebecca M.; Broude Geva, Sharon; Colbry, Dirk","Computing in Science & Engineering",="15219615",,="Nov-Dec2020","22","6","97","6","146472471","10.1109/MCSE.2020.3024012","IEEE","Article","PANDEMICS; MASSIVE open online courses; COVID-19; AIRPORTS","Computer aided instruction; Electronic learning; Pandemics; Problem-solving","The rapid, global spread of COVID-19 has led to an unprecedented rise in enrollments in online learning experiences among learners of all ages. In this article, we explore the impact of the global pandemic on a massive open online course, Problem Solving Using Computational Thinking, with a particular focus on the topics learners chose for their final projects. The Computational Thinking MOOC was designed using a project-based learning approach and aims to provide learners with an introduction to the ""big ideas"" of computational thinking using a range of case studies that encompass topics such as airport surveillance, epidemiology, and human trafficking. Beyond observing a sharp increase in enrollment and engagement at the time the pandemic began, we discuss ways in which the course's project-based pedagogy allowed learners to bring their present experiences and concerns together with the course's subject matter in order to meet the learning objectives for the course. Many learners chose to address aspects of the pandemic in the course's final project and applied ideas about computational thinking to peer-graded assignments that conveyed an individualized sense of importance and urgency. We assert that this approach, along with the inclusion of a timely epidemiology case study, enabled learners to more deeply internalize the role that computational thinking can play in their own lives and in society as a whole. [ABSTRACT FROM AUTHOR] Copyright of Computing in Science & Engineering is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=146472471&lang=es&site=ehost-live"
"Algorithmic Composition: Computational Thinking in Music.","EDWARDS, MICHAEL","Communications of the ACM",="00010782",,="Jul2011","54","7","58","10","63023209","10.1145/1965724.1965742","Association for Computing Machinery","Article","MUSICAL composition; ALGORITHMS; MOZART, Wolfgang Amadeus, 1756-1791; D'AREZZO, Guido; ISAACSON, Leonard; HILLER, Lejaren, 1924-1994",,"The article discuss the algorithmic composition of music, both prior and subsequent to the advent of the digital computer. In the eleventh century Guido d'Arezzo invented a formal method of setting words to music. A composition written by Guillaume Dufay in the fifteenth century is an early example of music based on numerical ratios. Noted composer Wolfgang Amadeus Mozart is believed to have resorted to algorithmic methods at least once. In 1956 Lejaren Hiller and Leonard Isaacson cooperated to produce the world's first computer-aided composition.","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=63023209&lang=es&site=ehost-live"
"Developing creative material in STEM courses using integrated engineering design based on APOS theory.","Zhong, Hua-Xu; Lai, Chin-Feng; Chang, Jui-Hung; Chiu, Po-Sheng","International Journal of Technology & Design Education",="09577572",,="Sep2023","33","4","1627","25","164948092","10.1007/s10798-022-09788-5","Springer Nature","Article","ENGINEERING design; COLLEGE students; MATHEMATICS; LABOR supply; CLASSROOM environment","APOS theory; CDIO engineering design; Computational thinking; Creativity; STEM","Over the past several years, creativity has been recognized as an important skill for success in STEM education, engineering design and computational thinking. There is limited research on how to apply Conceive, Design, Implement, Operate (CDIO) engineering design in STEM courses and how it affects students' creativity. This study strategically integrated computational thinking (CT), STEM, and CDIO engineering design, based on Action-Process-Object-Schema (APOS) theory, into a course. This study has adopted a framework to design creative learning materials and examined how this framework impacts students' creativity. This study used a pretest–posttest nonequivalent-groups design. The study investigated a STEM course which had 40 participants (n = 40, male = 11, female = 29) for 12 weeks. 6 weeks were spent using traditional teaching and 6 weeks integrating a CDIO framework into computational thinking. All the students in the course were college students with teacher college backgrounds. To examine the impact of our course, we used a questionnaire to examine the students' creativity before and after the STEM course was applied. Our results show that our course had a significantly impact on our students' creativity, particularly in the case of the male students. This finding is consistent with the findings of other research studies. This study also offers some suggestions for teachers who wish to improve their learning materials. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Technology & Design Education is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=164948092&lang=es&site=ehost-live"
"The influence of SRA programming on algorithmic thinking and self-efficacy using Lego robotics in two types of instruction.","Fanchamps, Nardie L. J. A.; Slangen, Lou; Hennissen, Paul; Specht, Marcus","International Journal of Technology & Design Education",="09577572",,="Apr2021","31","2","203","20","149420153","10.1007/s10798-019-09559-9","Springer Nature","Article","ROBOTICS; ENGINEERING education; MATHEMATICS education; SELF-efficacy; PRIMARY schools","Computational thinking; Mathematics; Programming; Robotics; Self-efficacy; Sense-reason-act","This study investigates the development of algorithmic thinking as a part of computational thinking skills and self-efficacy of primary school pupils using programmable robots in different instruction variants. Computational thinking is defined in the context of twenty-first century skills and describes processes involved in (re)formulating a problem in a way that a computer can process it. Programming robots offers specific affordances as it can be used to develop programs following a Sense-Reason-Act (SRA) cycle. The literature provides evidence that programming robots has the potential to enhance algorithmic thinking as a component of computational thinking. Specifically there are indications that pupils who use SRA-programming learn algorithmic skills better and achieve a higher level of self-efficacy in an open, scaffold learning environment than through direct instruction. In order to determine the influence of the instruction variant used, an experimental research design was made in which pupils solved algorithm-based mathematical problems (grid diagrams) in a preliminary measurement and their self-efficacy determined via a questionnaire. As an intervention, pupils learn to solve programming issues in pairs using ""Lego NXT"" robots and ""Mindstorms"" software in two instruction variants. The post-measurement consists of a Lego challenge, solving mathematical problems (grid diagrams), and a repeated self-efficacy questionnaire. This research shows an increase of our measures on algorithmic thinking dependent on the amount of SRA usage (though not significant). Programming using the SRA-cycle can be considered as the cause of the measured effect. The instruction variant used during the robotic intervention seems to play only a marginal role. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Technology & Design Education is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=149420153&lang=es&site=ehost-live"
"Retracted: A Study on the Optimization Mechanism of the Civic OBE Concept for a Computational Thinking-Oriented Basic Programming Course.",,"Mathematical Problems in Engineering",="1024123X",,="7/12/2023",,,"1","1","164936054","10.1155/2023/9861936","Hindawi Limited","Correction Notice","RESEARCH teams",,"This article has been retracted by Hindawi following an investigation undertaken by the publisher [[1]]. We wish to credit our own Research Integrity and Research Publishing teams and anonymous and named external researchers and research integrity experts for contributing to this investigation. Wiley and Hindawi regrets that the usual quality checks did not identify these issues before publication and have since put additional measures in place to safeguard research integrity. [Extracted from the article] Copyright of Mathematical Problems in Engineering is the property of Hindawi Limited and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=164936054&lang=es&site=ehost-live"
"Signifying software engineering to computational thinking learners with AgentSheets and PoliFacets.","Monteiro, Ingrid Teixeira; Salgado, Luciana Cardoso de Castro; Mota, Marcelle Pereira; Sampaio, Andréia Libório; de Souza, Clarisse Sieckenius","Journal of Visual Languages & Computing",="1045926X",,="Jun2017","40",,"91","22","123975463","10.1016/j.jvlc.2017.01.005","Academic Press Inc.","Article","SOFTWARE engineering; THOUGHT & thinking; COMPUTER software quality control; COMPUTER programming; SEMIOTICS","AgentSheets; Computational thinking acquisition (CTA); End user development (EUD); End User Software Engineering (EUSE); Program deconstructions; Semiotic analysis; Semiotic Engineering","Nonprofessional end user programs have increased remarkably in volume and diversity. However, for such programs to be usable and reliable, their creators should be familiar with software engineering practices that are typically not part of their range of competence and source of enjoyment. While the expansion of computational thinking acquisition (CTA) initiatives at schools and the availability of improved programming environments have contributed to facilitate the learners’ coding tasks, much less has been done to facilitate the acquisition of software quality notions. This paper reports on a Brazilian CTA program guided by semiotic principles and describes a study of how the technology used in it prefigures elements of software engineering in the participants’ programs created with AgentSheets. Our research contributions touch on the semiotic potential of CTA infrastructures and on associated pedagogical considerations for expanding CTA programs with software engineering basics. We also propose items for an interdisciplinary research agenda. [ABSTRACT FROM AUTHOR] Copyright of Journal of Visual Languages & Computing is the property of Academic Press Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=123975463&lang=es&site=ehost-live"
"Employing Mobile Technologies to Investigate the Association Between Abstraction Skills and Performance in Environmental Studies in Early Primary School.","Kanaki, Kalliopi; Kalogiannakis, Michail; Poulakis, Emmanouil; Politis, Panagiotis","International Journal of Interactive Mobile Technologies",="18657923",,="2022","16","6","241","9","155898589","10.3991/ijim.v16i06.28391","International Journal of Interactive Mobile Technologies","Article","ENVIRONMENTAL sciences; PRIMARY schools; PERFORMANCE theory; MODERN society; SCHOOL year; MOBILE communication systems","abstraction; computational thinking; environmental study; mobile technologies","Harmonised with the shift of education to satisfying the requirements of modern societies for cultivating 21st century skills, we introduce the novel idea of the synergistic development of computational thinking skills and environmental awareness in the early primary school years, by employing mobile technologies. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Interactive Mobile Technologies is the property of International Journal of Interactive Mobile Technologies and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=155898589&lang=es&site=ehost-live"
"Thinking Like a Computer.","Denning, Peter J.; Tedre, Matti","American Scientist",="00030996",,="May/Jun2019","107","3","187","2","135905731","10.1511/2019.107.3.187","Sigma Xi, The Scientific Research Honor Society, Inc.","Excerpt","COMPUTATIONAL Thinking (Book); DENNING, Peter J.; TEDRE, Matti",,"The article presents an excerpt from the book ""Computational Thinking"" by Peter J. Denning and Matti Tedre regarding computational thinking.","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=135905731&lang=es&site=ehost-live"
"Exploring the Determinants of Artificial Intelligence (AI) Literacy: Digital Divide, Computational Thinking, Cognitive Absorption.","Celik, Ismail","Telematics & Informatics",="07365853",,="Sep2023","83",,"N.PAG","1","170044777","10.1016/j.tele.2023.102026","Elsevier B.V.","Article","DIGITAL divide; DIGITAL literacy; ARTIFICIAL intelligence; INFORMATION & communication technologies; CHATGPT; ABSORPTION","AI Literacy; ChatGPT; Cognitive Absorption; Computational Thinking; Digital Divide","• A model was developed for exploring the determinants of AI Literacy. • Digital divide plays a critical role in influencing AI Literacy. • Computational thinking is positively associated with AI Literacy. • Cognitive absorption is related to digital divide, but not to AI Literacy. • Digital divide has a positive effect on computational thinking. To effectively utilize artificial intelligence (AI)-based technologies such as ChatGPT and realize their novel ethical issues, individuals must have a variety of knowledge and skills about AI. Such knowledge and skills have led to the emergence of AI literacy. Despite the importance of AI literacy in everyday life, little is known about its determinants. To better understand the determinants of AI literacy, we attempted to build a research model relying on previous research and different theoretical frameworks. The model incorporated digital divide, cognitive absorption, and computational thinking. As a major finding from the current study, computational thinking was found to be a significant determinant of AI literacy, which facilitate using, recognizing, and evaluating AI-based technologies. Moreover, we found out that individuals with physical access to information and communication technologies (ICTs) are more expected to use and recognize AI. Also, motivation and skills in using ICTs enable individuals to better evaluate the outcomes of AI-based technologies. The findings also showed that convenient access to ICTs contributes to a deep involvement with AI-based technologies in the use. Further, individuals with higher motivation and skills to use AI technologies are likely to have a pleasant experience after using these technologies. [ABSTRACT FROM AUTHOR] Copyright of Telematics & Informatics is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=170044777&lang=es&site=ehost-live"
"Advancing students’ computational thinking skills through educational robotics: A study on age and gender relevant differences.","Atmatzidou, Soumela; Demetriadis, Stavros","Robotics & Autonomous Systems",="09218890",,="Jan2016 Part B","75",,"661","10","111345155","10.1016/j.robot.2015.10.008","Elsevier B.V.","Article","ROBOTICS in education; MACHINE performance; SECONDARY education; THOUGHT & thinking; PSYCHOLOGY of students","Computational thinking; Educational robotics; Secondary education; Skill development","This work investigates the development of students’ computational thinking (CT) skills in the context of educational robotics (ER) learning activity. The study employs an appropriate CT model for operationalising and exploring students’ CT skills development in two different age groups (15 and 18 years old) and across gender. 164 students of different education levels (Junior high: 89; High vocational: 75) engaged in ER learning activities (2 hours per week, 11 weeks totally) and their CT skills were evaluated at different phases during the activity, using different modality (written and oral) assessment tools. The results suggest that: (a) students reach eventually the same level of CT skills development independent of their age and gender, (b) CT skills in most cases need time to fully develop (students’ scores improve significantly towards the end of the activity), (c) age and gender relevant differences appear when analysing students’ score in the various specific dimensions of the CT skills model, (d) the modality of the skill assessment instrument may have an impact on students’ performance, (e) girls appear in many situations to need more training time to reach the same skill level compared to boys. [ABSTRACT FROM AUTHOR] Copyright of Robotics & Autonomous Systems is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=111345155&lang=es&site=ehost-live"
"An Exploration of Three-Dimensional Integrated Assessment for Computational Thinking.","Zhong, Baichang; Wang, Qiyun; Chen, Jie; Li, Yi","Journal of Educational Computing Research",="07356331",,="Jan2016","53","4","562","29","112764382","10.1177/0735633115608444","Sage Publications Inc.","Article","COMPUTER science education; THREE-dimensional modeling; EDUCATIONAL evaluation; COMPUTERS in education; ACADEMIC motivation","assessment; computational thinking; improving classroom teaching; primary education; programming and programming languages","Computational thinking (CT) is a fundamental skill for students, and assessment is a critical factor in education. However, there is a lack of effective approaches to CT assessment. Therefore, we designed the Three-Dimensional Integrated Assessment (TDIA) framework in this article. The TDIA has two aims: one was to integrate three dimensions (directionality, openness, and process) into the design of effective assessment tasks; and the other was to assess comprehensively the three dimensions of CT including computational concepts, practices, and perspectives. Guided by the TDIA framework, we designed three pairs of tasks: closed forward tasks and closed reverse tasks, semiopen forward tasks and semiopen reverse tasks, and open tasks with a creative design report and open tasks without a creative design report. To further confirm each task’s applicability and its advantages and disadvantages, we conducted a test experiment at the end of the autumn semester in 2014 in a primary school for 3 weeks. The results indicated that (a) the reverse tasks were not more superior than the forward tasks; (b) the semiopen tasks and the open tasks were more effective than the closed tasks, and the semiopen tasks had higher difficulty and discrimination than the others; (c) the self-reports provided a helpful function for learning diagnosis and guidance; (d) the scores had no significant difference between the schoolboys and the schoolgirls in all six tasks; and (e) the six tasks’ difficulty and discrimination were all acceptable, and the semiopen tasks had higher difficulty and discrimination than the others. To effectively apply them, the following suggestions for teachers to design computational tasks are proposed: motivating students’ interest and enthusiasm, incorporating semifinished artifacts, involving learning diagnosis and guidance, and including multiple types of tasks in an assessment. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=112764382&lang=es&site=ehost-live"
"From classroom lessons to exploratory learning progressions: mathematics + computational thinking.","Israel, Maya; Lash, Todd","Interactive Learning Environments",="10494820",,="May2020","28","3","362","21","143139062","10.1080/10494820.2019.1674879","Taylor & Francis Ltd","Article","LESSON planning; LEARNING; MATHEMATICS; CRITICAL thinking; COMPUTER science education","computer science learning progressions; computer science lesson planning; elementary mathematics; Elementary school computer science; integrated curriculum","This paper presents findings from a two-year qualitative study examining integration of computer science (CS) and computational thinking (CT) into elementary mathematics instruction. Integrated units were developed by elementary teachers and CS/CT coaches with support from university faculty with expertise in CS/CT and elementary mathematics. CS/CT instruction primarily relied on the Scratch environment, although some lessons made use of Code.org materials. This research primarily relied on two theories of integration (i.e. Kiray, 2012. A new model for the integration of science and mathematics: The balance model. Energy Education Science and Technology Part B: Social and Educational Studies, 4(3), 1181–1196) that provided insight into the level of interconnection between the disciplines and the relative amount of instructional time spent within each discipline. Findings revealed that cross-grade CS/CT concepts included sequencing, looping, and conditional logic. Within each category: (a) concepts were taught with increasing complexity across the grades, (b) the mathematics was dominant and CS/CT was important but secondary, and (c) three types of lessons emerged: No integration, partial integration, and full integration. Lastly, lessons generally included a transition from less integrated to more integrated activities with an initial focus on discipline-specific conceptual understanding prior to integrated activities. [ABSTRACT FROM AUTHOR] Copyright of Interactive Learning Environments is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=143139062&lang=es&site=ehost-live"
"Analysing computational thinking in collaborative programming: A quantitative ethnography approach.","Wu, Bian; Hu, Yiling; Ruis, A.R.; Wang, Minhong","Journal of Computer Assisted Learning",="02664909",,="Jun2019","35","3","421","14","136200237","10.1111/jcal.12348","Wiley-Blackwell","Article","CHINA; COLLEGE students; OUTCOME-based education; COMPUTERS; DISCOURSE analysis; HEALTH occupations students; THEORY of knowledge; LEARNING strategies; PROBLEM solving; RESEARCH; UNIVERSITIES & colleges; VIDEO recording; ETHNOLOGY research; QUANTITATIVE research; SOFTWARE architecture; DATA analysis software; DESCRIPTIVE statistics",,"Computational thinking (CT), the ability to devise computational solutions for real‐life problems, has received growing attention from both educators and researchers. To better improve university students' CT competence, collaborative programming is regarded as an effective learning approach. However, how novice programmers develop CT competence through collaborative problem solving remains unclear. This study adopted an innovative approach, quantitative ethnography, to analyze the collaborative programming activities of a high‐performing and a low‐performing team. Both the discourse analysis and epistemic network models revealed that across concepts, practices, and identity, the high‐performing team exhibited CT that was systematic, whereas the CT of the low‐performing team was characterized by tinkering or guess‐and‐check approaches. However, the low‐performing group's CT development trajectory ultimately converged towards the high‐performing group's. This study thus improves understanding of how novices learn CT, and it illustrates a useful method for modeling CT based in authentic problem‐solving contexts. Lay Description: What is already known about this topic: Computational thinking competence includes computational concepts, computational practices, and computational perspectives.Collaborative programming has the potential to foster computational thinking competence development.What this paper adds: The low‐performing student group adopted a bottom‐up perspective at the beginning but transformed to a top‐down approach by the end.The low‐performing group's computational thinking development trajectory had convergent evolution towards the high‐performing group's trajectory.Implications for practice and/or policy: Computational thinking competence can be developed in collaborative contexts even when students begin with a bottom‐up approach.Computational thinking should go beyond the cognitive development of computational concepts to connect computational practice and computational identity.Quantitative ethnography approach has potential to model computational thinking competence in collaborative programming context. [ABSTRACT FROM AUTHOR] Copyright of Journal of Computer Assisted Learning is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=136200237&lang=es&site=ehost-live"
"Students' in-moment challenges and developing maker perspectives during problem-based digital making.","Ng, Oi-Lam; Liu, Minnie; Cui, Zhihao","Journal of Research on Technology in Education",="15391523",,="Jun2023","55","3","411","15","163697439","10.1080/15391523.2021.1967817","Taylor & Francis Ltd","Article","WORD problems (Mathematics); PROBLEM solving; STUDENT activities; DATA analysis; STUDENTS; STEM education","computational thinking; constructionism; Digital making; mathematics education; problem-solving; technology-enhanced learning","We report on a case study of eight grade 5 to 6 students (ages 12–14) involved in a three-day ""digital-making summer camp"" focused on mathematical problem-solving through block-based programming combined with programmable electronics. Data analysis focused on the computational thinking (CT), mathematics, and problem-solving challenges that surfaced during the activities and on the students' developing perspectives about themselves as computational thinkers and problem solvers. Our results suggest the students developed various CT and problem-solving competences and dispositions during the digital-making activities. However, they experienced difficulties with ill-structured problems. This study supports the creative uses of digital making as complementary to K-12 mathematics learning. [ABSTRACT FROM AUTHOR] Copyright of Journal of Research on Technology in Education is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=163697439&lang=es&site=ehost-live"
"Education: Paving the Way for Computational Thinking.","Guzdial, Mark","Communications of the ACM",="00010782",,="Aug2008","51","8","25","3","33662976","10.1145/1378704.1378713","Association for Computing Machinery","Article","COMPUTER programming; EDUCATION; PROBLEM solving; ALGORITHMS; PSYCHOLOGY; LEARNING",,"The article discusses research into how computer programming concepts can be made accessible to non-programmers. Effective educational methods need to draw upon insights from a variety of fields including computer science, education, and psychology. In a study performed by Lance A. Miller during the 1980s it was revealed how non-programmers rarely resort to control flow when approaching multi-step tasks. Subsequent experiments by John Pane and others at Carnegie Mellon University showed that object-oriented thinking does not come naturally to humans.","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=33662976&lang=es&site=ehost-live"
"From Computational Thinking to Computational Participation in K-12 Education.","Kafai, Yasmin B.","Communications of the ACM",="00010782",,="Aug2016","59","8","26","2","117173587","10.1145/2955114","Association for Computing Machinery","Opinion","MIDDLE school education; COMPUTER science education; SECONDARY education; COMPUTER programming education; STUDENT interests; DEVELOPMENT of application software",,"The author offers an argument that computational thinking should be understood as computational participation in K-12 education. Topics include the nature of student interest in computer programming, the creation of applications in a communal context by students, and the need for broader participation in computer science education by K-12 students.","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=117173587&lang=es&site=ehost-live"
"Progress in Computational Thinking, and Expanding the HPC Community.","Wing, Jeannette; Stanzione, Dan","Communications of the ACM",="00010782",,="Jul2016","59","7","10","2","116599151","10.1145/2933410","Association for Computing Machinery","Article","COMPUTER science education; HIGH performance computing; STUDY & teaching of thought & thinking; CONFERENCES & conventions",,"Blog posts from the website http://cacm.acm.org are presented, including a post on the teaching of computational thinking in K-12 U.S. schools and a post on the conference SC16 and high-performance computing (HPC).","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=116599151&lang=es&site=ehost-live"
