DOI,Abstract,Publisher,Author,Title,Publication Title,Volume,ISSN,Issue
10.30191/ETS.202304_26(2).0007,"There is an ongoing debate in the literature about the ways of using technology to enhance students' Computational Thinking (CT). This special issue further enriches this debate by investigating how educational technology could be used, and for which purposes, to facilitate learning CT. It includes six papers demonstrating the innovative design of curricula and the use of various technologies to teach CT for students in different educational levels. Based on these papers, this special issue points out that more research is needed to investigate the best educational practices that could be used to teach CT rather than focusing on the technology itself. It also reveals that future work could cover smart learning analytics and precision education to better model students' individual differences, hence effectively supporting learning CT. [ABSTRACT FROM AUTHOR] Copyright of Educational Technology & Society is the property of International Forum of Educational Technology & Society (IFETS) and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",International Forum of Educational Technology & Society (IFETS),"Tlili, Ahmed; Burgos, Daniel; Looi, Chee-Kit",Guest Editorial: Creating Computational Thinkers for the Artificial Intelligence Era-Catalyzing the Process through Educational Technology.,Educational Technology & Society,26,11763647,2
10.7560/VLT7207,"The article discusses how computational thinking can be improved in high school education through the use of computer game design. It notes a disparity in computational thinking among women and minorities and considers how the inclusion of educational approaches such as creative design, collaborative work, and multidisciplinary approaches to computer education through the use of games can improve computational thinking.",University of Texas Press,"Anton, Gabriella; Barany, Amanda",POWER OF PLAY: EXPLORING COMPUTATIONAL THINKING THROUGH GAME DESIGN.,Velvet Light Trap: A Critical Journal of Film & Television,,01491830,72
10.1145/3148760,"The article discusses the use of parallel computational thinking in programming applications to fully utilize multicore processors. Topics include the traditional use of sequential thinking in computer science education, the teaching of parallel computation as part of undergraduate computer science curricula, and the use of algorithmic models in relation to multicore device programming.",Association for Computing Machinery,"Kirkpatrick, Keith",Parallel Computational Thinking: Applications must be programmed to process instructions in parallel to take full advantage of the new multicore processors.,Communications of the ACM,60,00010782,12
10.1016/j.compedu.2021.104284,"Content area K-12 teachers are increasingly asked to integrate computing and computational thinking into their classrooms, yet they often have little experience with computing. The purpose of this study was to understand how science teachers, new to computing and integrating computational thinking into their classrooms, supported students as computational problem solvers. In the project from which this research was drawn, 8th grade science teachers in three US school districts integrated computer game design into their study of climate systems and climate change. We conducted participant observation, collected teacher implementation logs and interviewed 15 teachers engaged in the three-year design research project, Building Systems from Scratch. Analysis through grounded theory yielded several results related to teachers' orientations, strategies, and use of resources to create systems of distributed expertise. We identified five major themes: a) releasing responsibility to students, b) co-learning with students, c) encouraging students' independent problem solving, d) building interdependence among students, and e) providing multiple other resources. Findings are discussed in relation to the literature on integrating computational thinking into content area classrooms. • Science teachers' orientations to incorporating computational thinking practices. • Science teachers distribute expertise to support computational problem-solving. • Opportunities and tensions for independent student computational problem-solving. • Strategies for teachers new to integrating computational practices. [ABSTRACT FROM AUTHOR] Copyright of Computers & Education is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Tucker-Raymond, Eli; Cassidy, Michael; Puttick, Gillian",Science teachers can teach computational thinking through distributed expertise.,Computers & Education,173,03601315,
,"The teaching base of national engineering mathematics course has important practical significance and special function for the training of engineering talents. The construction of engineering mathematics base should be further strengthened. Based on the background of the development of new engineering and the requirements of the new economy for talent training, this paper points out that the construction of mathematics course teaching base should pay more attention to the innovation of construction idea, construction content and the reform of teaching mode, and strengthen the construction of teaching ability. Involving in the development of new engineering, grasping the new opportunities brought by the development of new engineering to the reform of mathematics education, innovating the construction concept and leading the base to a higher level and higher quality in the construction of new engineering is the primary task of the base construction. Focusing on improving teachers' ability to integrate mathematics, computational Thinking and disciplines, giving better play to the driving role of mathematics in the training of innovative talents, deepening the comprehensive reform of engineering mathematics teaching, improving the quality of personnel training, and providing high-quality personnel support for the development of new engineering are the central works of base construction. [ABSTRACT FROM AUTHOR] Copyright of Research & Exploration in Laboratory is the property of Research & Exploration in Laboratory and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Research & Exploration in Laboratory,HUANG Ping; YANG Qigui,Exploration on the Construction of Engineering Mathematics Teaching Base under the Background of New Engineering Development.,Research & Exploration in Laboratory,38,10067167,11
10.1080/07380569.2023.2178868,"This study aims to identify effective teaching strategies and challenges in computer science (CS) teaching and K-12 CS teachers' needs for professional development (PD). The data were collected through semi-structured interviews with five K-12 CS teachers and eight CS instructors in higher education and analyzed using thematic analysis. The findings indicated that (1) connecting the classroom to the real world, project-based assessment, and teamwork are effective teaching strategies; (2) teaching challenges include CS teachers' knowledge gaps, students' technology access and use, and elective courses; and (3) teachers' PD opportunities and needs include content and pedagogical knowledge and an ongoing learning community. The findings offer implications for K-12 CS education and teachers' PD. [ABSTRACT FROM AUTHOR] Copyright of Computers in the Schools is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Taylor & Francis Ltd,"Zhu, Meina; Wang, Cheng","K-12 Computer Science Teaching Strategies, Challenges, and Teachers' Professional Development Opportunities and Needs.",Computers in the Schools,41,07380569,1
10.1109/MCG.2014.46,"Visual programming in 3D sounds much more appealing than programming in 2D, but what are its benefits? Here, University of Colorado Boulder educators discuss the differences between 2D and 3D regarding three concepts connecting computer graphics to computer science education: ownership, spatial thinking, and syntonicity. [ABSTRACT FROM PUBLISHER] Copyright of IEEE Computer Graphics & Applications is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",IEEE,"Repenning, Alexander; Webb, David C.; Brand, Catharine; Gluck, Fred; Grover, Ryan; Miller, Susan; Nickerson, Hilarie; Song, Muyang",Beyond Minecraft: Facilitating Computational Thinking through Modeling and Programming in 3D.,IEEE Computer Graphics & Applications,34,02721716,3
10.1016/j.compedu.2020.103832,"The inclusion of computational thinking (CT) in the classroom is something that the present and future society is demanding. However, this domain remains largely unexplored, especially in the first years of Primary Education. The purpose of this study is to evaluate whether the inclusion of the so-called unplugged activities favours the development of CT in the students of the early years of Primary Education. To this end, a quasi-experimental study has been carried out to explore the eventual benefit of a mixed approach that combines both unplugged and plugged-in activities. In particular, 84 second-grade students took part in the experiment. Three questions were evaluated: the development of their CT skills, their motivation towards the proposed instruction, and the influence of students' gender in the two previous areas. The intervention was designed on a selection of activities extracted from Code. org courses, and was divided into two phases, one in which one group worked with unplugged activities and the other with plugged-in activities, and a second where both groups worked with plugged-in activities. Analysing the three proposed questions through tests performed before, in between and after the instruction, it is concluded that the inclusion of unplugged activities in the instruction seems beneficial taking into account CT, motivation and gender. • Unplugged activities improve computational thinking skills in early Primary Education. • A computational thinking instruction with unplugged activities enhances motivation. • Gender does not influence computational thinking skills acquisition. • Gender influences motivation towards a computational thinking instruction. [ABSTRACT FROM AUTHOR] Copyright of Computers & Education is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"del Olmo-Muñoz, Javier; Cózar-Gutiérrez, Ramón; González-Calero, José Antonio",Computational thinking through unplugged activities in early years of Primary Education.,Computers & Education,150,03601315,
10.1016/j.chb.2019.106230,"This study aimed at investigating whether Computational Thinking (CT) Perspectives can foster Computational Identity (CI) among primary school students in programming learning from the perspective of situated learning theory. This study conceptualized CT perspectives as a multidimensional construct that comprises (1) ability to connect, (2) ability to question, and (3) ability to express, and CI with four subcomponents including (1) programming affiliation, (2) programming engagement, (3) programming actualization, and (4) programming goal setting. Students who received at least 6-month programming training for computational thinking development were invited to participate in this study. Results of Confirmatory Factor Analysis (CFA) suggested that the CT perspectives instrument (n = 100) and CI instrument (n = 241) reached good fit and therefore were validated in the pilot study. In the main study, survey answers (N = 215) including CT perspectives and CI were collected. Results of Structural Equation Modeling (SEM) showed positive relationships between CT perspectives and CI formation among primary school students. Mediation results further revealed that ability to question can foster CI formation through ability to express, while ability to connect can directly foster CI formation. Implications were discussed at the end of the study. • Learning visual programming contributes to positive learning outcomes. • CT perspectives facilitated by visual programming contribute to CI formation. • Young learners' willingness to connect with peers is positively related to CI formation. • Young learners' willingness to express with programming artifacts is positively related to CI formation. • Young learners' willingness to question is positively related to CI formation only if they are willing to express. [ABSTRACT FROM AUTHOR] Copyright of Computers in Human Behavior is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Kong, Siu Cheung; Wang, Yi Qing",Formation of computational identity through computational thinking perspectives development in programming learning: A mediation analysis among primary school students.,Computers in Human Behavior,106,07475632,
10.1016/j.chb.2019.03.018,"The study examined the effects of learning with the Bee-Bot on young boys' and girls' computational thinking within the context of two scaffolding techniques. The study reports statistically significant learning gains between the initial and final assessment of children's computational thinking skills. Also, according to the findings, while both boys and girls benefited from the scaffolding techniques, a statistically significant interaction effect was detected between gender and scaffolding strategy showing that boys benefited more from the individualistic, kinesthetic, spatially-oriented, and manipulative-based activity with the cards, while girls benefited more from the collaborative writing activity. In regards to the children's problem-solving strategies during debugging, the results showed that the majority of them used decomposition as a strategy to deal with the complexity of the task. These results are important, because they show that children at this very young age are able to cope with the complexity of a learning task by decomposing it into a number of subtasks that are easier for them to tackle. The research contributes to the body of knowledge about the teaching of computational thinking. In addition, the study has practical significance for curriculum developers, instructional leaders, and classroom teachers, as they can use the results of this study to design curricula and classroom activities with a focus on the broader set of computational thinking skills, and not only coding. • The study examined the effects of learning with the Bee-Bot on computational thinking. • A gender-friendly learning environment was designed. • An interaction effect was found between gender and scaffolding strategy. • Young children used decomposition as a problem-solving strategy during debugging. [ABSTRACT FROM AUTHOR] Copyright of Computers in Human Behavior is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Angeli, Charoula; Valanides, Nicos",Developing young children's computational thinking with educational robotics: An interaction effect between gender and scaffolding strategy.,Computers in Human Behavior,105,07475632,
10.1016/j.chb.2018.12.027,"Computational thinking (CT) is a key skill in the 21st century. However, it is not clear which is the most effective way to acquire and improve CT. Big research efforts are made to determine which pedagogical means should be used. One research trend is based on the idea that teaching programming since Primary Education suffices to improve CT. In our previous work, we proposed and validated a methodology based on metaphors and used of Scratch (MECOPROG) to teach basic programming concepts to children. It is our hypothesis H that by applying MECOPROG, students will develop their CT. To check H, we carried out an experiment with 132 Primary Education Students (9–12 years in age). At the beginning of the experiment, all students were asked to fill in a programming concepts test and two tests to measure their CT. During the sessions, all students were taught according to MECOPROG. Finally, they took the three tests again. A significant increase in the results on all the tests has been measured, supporting the use of metaphors and Scratch to teach computer programming concepts to Primary Education students to develop their CT. • Computational Thinking can be improved using metaphors and Scratch. • Primary Education students' Computational Thinking can be improved. • Primary Education students can learn basic programming concepts. [ABSTRACT FROM AUTHOR] Copyright of Computers in Human Behavior is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Pérez-Marín, Diana; Hijón-Neira, Raquel; Bacelo, Adrián; Pizarro, Celeste",Can computational thinking be improved by using a methodology based on metaphors and scratch to teach computer programming to children?,Computers in Human Behavior,105,07475632,
10.1016/j.compedu.2019.103613,"Although several investigations of spatial reasoning and mental rotation skills have been conducted in research areas linked to STEM education, to the best of our knowledge, few of these studies have examined the relationship between spatial reasoning and computational thinking. Given this gap in the literature, the present study investigates the role and action of spatial reasoning, and specifically the effects of mental rotation on computational thinking within an embodied and enacted perspective. To achieve this, we carried out a study involving 92 students in five primary-school classes (1st grade - 5th grade). The findings reveal a positive correlation between computational thinking skill and mental rotation ability. • Computational thinking is a high-level cognitive process closely connected to sensorimotor factors. • Complex processes underlying computational thinking emerge from concrete, situated, and action-based practices. • The findings reveal a positive correlation between computational thinking skill and mental rotation ability. • Gender does not influence the relationship between coding ability and mental rotation skills. • This relationship is quite stable among the different school grades of primary school. [ABSTRACT FROM AUTHOR] Copyright of Computers & Education is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Città, Giuseppe; Gentile, Manuel; Allegra, Mario; Arrigo, Marco; Conti, Daniela; Ottaviano, Simona; Reale, Francesco; Sciortino, Marinella",The effects of mental rotation on computational thinking.,Computers & Education,141,03601315,
10.1016/j.compedu.2019.103607,"As computational thinking (CT) is being embraced by educational systems worldwide, researchers and teachers have posed important questions such as ""what to teach"" and ""what can be learned."" These questions are universally crucial to the learning of all subjects. Nevertheless, there is no up-to-date, systematic overview of CT education for K-9 students that attempt to provide answers to these crucial questions. Thus, this systematic review presents a synthesis of 55 empirical studies, providing evidence of the development of computational thinking through programming in Scratch, one of the most popular visual block programming languages in schools. The purpose of this review is to systematically examine the CT skills that can be obtained through Scratch in K-9 based on empirical evidence. This systematic review has adopted Brennan and Resnick's (2012) framework as the basis for defining and identifying the expected CT skills in K-9. The major findings entail what computational thinking skills students in K-9 can learn through Scratch in relation to the framework mentioned above, taking the progression of learning into account. Additional CT skills that are not captured by the framework were identified including input/output, reading, interpreting and communicating code, using multimodal media, predictive thinking, and human-computer interaction. These additional CT skills are not currently presented in Brennan and Resnick's (2012) framework and can be considered as possible supplements to their framework. Furthermore, the paper discusses the difficulties regarding assessment and the progression of the identified skills, as well as problems with study designs. Finally, the paper sets out suggestions for future studies based on the current research gaps. • The paper identified computational thinking skills that can be obtained through Scratch in compulsory education. • The paper presented a quantitative analysis of the methodology of the empirical studies. • The paper described the learning challenges and difficulties associated with the identified computational thinking skills. • The paper provided an overview of the progression of the computational thinking skills according to the learners' ages. • The paper revealed some problems in scientific reporting. [ABSTRACT FROM AUTHOR] Copyright of Computers & Education is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Zhang, LeChen; Nouri, Jalal",A systematic review of learning computational thinking through Scratch in K-9.,Computers & Education,141,03601315,
10.3390/s22103719,"We report a new learning approach in science and technology through the Qui-Bot H2O project: a multidisciplinary and interdisciplinary project developed with the main objective of inclusively increasing interest in computer science engineering among children and young people, breaking stereotypes and invisible social and gender barriers. The project highlights the social aspect of robotics applied to chemistry, at early ages. We successfully tested the project activities on girls between 3 to 13 years old. After taking part in the project, the users rated their interest in science and technology to be higher than before. Data collected during experiences included background information on students, measurements of the project's impact and students' interest in it, and an evaluation of student satisfaction of this STEM activity. The Qui-Bot H2O project is supported by the actions of territorial public administrations towards gender equality and the contributions of humanistic and technological universities and entities which specialize in education and business. [ABSTRACT FROM AUTHOR] Copyright of Sensors (14248220) is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",MDPI,"Tarrés-Puertas, Marta I.; Merino, Jose; Vives-Pons, Jordi; Rossell, Josep M.; Pedreira Álvarez, Montserrat; Lemkow-Tovias, Gabriel; Dorado, Antonio D.",Sparking the Interest of Girls in Computer Science via Chemical Experimentation and Robotics: The Qui-Bot H 2 O Case Study †.,Sensors (14248220),22,14248220,10
10.5176/2251-2195_CSEIT17.68,"Teaching K-12 students computational thinking is the latest craze among scientists and is supposed to revolutionize critical thinking and improve the science, technology, engineering, and math interest pipeline. A slew of teaching plans, support materials, and curricula have been designed, developed, and promoted for use in classrooms worldwide. In this paper I argue that the foundations of computational thinking principles are sound and valid. However, the instructional approach is not transparent, developmentally appropriate, and lacks guiding scaffolds. One solution to these problems is to use a long-standing approach to strategic comprehension based on text structures - comparison, cause(s) for problem(s) and solution(s), sequence, and description. To showcase the usefulness of the text structures in computational thinking I present examples for every step of the Google computational thinking lessons explaining how the traditional approach can be made very useful to all students by including the teaching of text structures prior to or during computational thinking lessons. [ABSTRACT FROM AUTHOR] Copyright of Annual International Conference on Computer Science Education: Innovation & Technology is the property of Global Science & Technology Forum and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Global Science & Technology Forum,"Wijekumar, Kay",Pragmatic Scaffolding for Computational Thinking Using Text Structures: Theoretical and Empirical Lenses on K-12 Classrooms.,Annual International Conference on Computer Science Education: Innovation & Technology,,22512195,
10.1016/j.compedu.2020.103872,"The implementation of effective professional development courses for K-12 teachers on computational thinking (CT) in relation to programming remains a challenge. There is a lack of high-quality empirical research on teacher development in CT in relation to programming. This study addressed that situation by providing empirical evidence of the design and evaluation of such a teacher development program in primary schools. Seventy-six in-service teachers participated in a program comprising two 39-h courses. One course focused on the fundamental subject knowledge of programming for CT development together with pedagogy. The other focused on the development of advanced knowledge while providing opportunities to practice teaching in the classroom and to reflect on the practice. The results indicate that the participants developed a better understanding of CT concepts and practices and improved in three of the four content knowledge related dimensions of technological pedagogical content knowledge (TPACK) across the two courses. The three dimensions were content knowledge of programming for CT development, technological content knowledge of the use of block-based programming environments for programming for CT development, and use of the environment to teach programming for CT development with the appropriate pedagogy in context. Analysis of the participants' self-reported reflections suggested that the two courses and the teaching experience acquired during the prolonged second course were the two main sources of improvement. This study demonstrates the importance of providing an effective teacher development program with a focus on CT concepts and practices. The program offers teachers a sustained period in which to practice in the classroom and reflect on their teaching while developing their capacity to implement CT in relation to programming. • A teacher development program for CT in relation to programming was designed and evaluated. • Teachers' CT concepts and practices improved consistently in the program. • In-service teachers attended the program and improved in all content-knowledge related TPACK dimensions. • A sustained period of active participation in programming activities was essential. • Opportunities to reflect on pedagogy in practicing CT in programming activities was important. [ABSTRACT FROM AUTHOR] Copyright of Computers & Education is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Kong, Siu-Cheung; Lai, Ming; Sun, Daner","Teacher development in computational thinking: Design and learning outcomes of programming concepts, practices and pedagogy.",Computers & Education,151,03601315,
10.1111/ssm.12397,"Data practices are an area in which STEM educators can apply computational thinking practices, and data practices are common to all of the STEM disciplines. According to Weintrop and colleagues ([4]), data practices involved in STEM education include creating data, collecting data, manipulating data, visualizing data, and analyzing data. Knowing more about how students engage in data practices, why they make those moves, and how teachers support student data practices that produce valid and reliable results are needed. [Extracted from the article] Copyright of School Science & Mathematics is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Wiley-Blackwell,"Peters‐Burton, Erin",The power of computational thinking in STEM education.,School Science & Mathematics,120,00366803,3
,"Computational geometry is a new (about 30 years) and rapidly growing branch of knowledge in computer science that deals with the analysis and design of algorithms for solving geometric problems. These problems typically arise in computer graphics, image processing, computer vision, robotics, manufacturing, knot theory, polymer physics and molecular biology. Since its inception many of the algorithms proposed for solving geometric problems, published in the literature, have been found to be incorrect. These incorrect algorithms rather than being 'purely mathematical' often contain a strong kinesthetic component. This paper explores the relationship between computational geometric thinking and kinesthetic thinking, the effect of the latter on the correctness and efficiency of the resulting algorithms, and their implications for education. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Mathematical Education in Science & Technology is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Taylor & Francis Ltd,"SellarÈs, J. Antoni; Toussaint, Godfried",On the role of kinesthetic thinking in computational geometry.,International Journal of Mathematical Education in Science & Technology,34,0020739X,2
10.1002/ckon.202100044,"The further development of the Siemens Stiftung′s Experimento|10+ teacher training program takes advantage of the opportunities offered by digitality in terms of both learning form and content: Digital and analogue experimental phases alter in a blended learning format, with the digital phases realized by online self‐learning modules. The topics of value education, inclusion and language‐sensitive teaching, as well as Computational Thinking, can be optionally selected by the teachers. During the face‐to‐face‐sessions, a special focus is placed on performing experiments on the topics energy, environment and health, which are highly suitable for chemistry lessons. In this article, the online modules, which are accessible via the Siemens Stiftung's Media Portal, are presented in more detail. (English) [ABSTRACT FROM AUTHOR] Mit der Weiterentwicklung der Lehrkräftefortbildung Experimento | 10+ der Siemens Stiftung wird ein neuartiges Bildungsprogramm vorgestellt, das sowohl in der Lernform als auch inhaltlich die Chancen der Digitalität nutzt: Es wechseln sich in einem Blended‐Learning‐Format digitale und analoge Experimentierphasen ab, wobei die digitalen Phasen über Online‐Selbstlern‐Module realisiert werden. Die Themenmodule Wertebildung, Inklusion und sprachsensibler Fachunterricht sowie Computational Thinking sind für die Lehrkräfte während der zweitägigen Fortbildung fakultativ. Während der Präsenzveranstaltungen liegt ein besonderer Fokus auf der Erprobung von Experimenten zu den Themenbereichen Energie, Umwelt und Gesundheit, welche sich im Besonderen für den Einsatz im Chemieunterricht eignen. Im vorliegenden Beitrag wird vor allem die Gestaltung der Online‐Module näher vorgestellt, welche über das Medienportal der Siemens Stiftung verfügbar sind. (German) [ABSTRACT FROM AUTHOR] Copyright of Chemkon - Chemie Konkret is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Wiley-Blackwell,"Knie, Lisa; Schwarzer, Stefan",Konzeption einer Blended‐Learning‐Lehrkräftefortbildung mit digitalen und analogen Inhalten im Rahmen von Experimento|10+.,Chemkon - Chemie Konkret,30,09445846,2
,,International Association of School Librarianship,"FARMER, LESLEY",Computer and Information Literacy and Computational Thinking Survey.,IASL Newsletter,52,00852015,1
10.1016/j.chb.2020.106575,"Several studies have reported that adaptivity and personalization in educational computer games facilitate reaching their full educational potential. However, there is little effort to develop adaptive educational computer games for promoting students' computational thinking (CT). In this study, an adaptive computer game is introduced, called AutoThinking, that not only promotes both CT skills and conceptual knowledge, but also provides adaptivity in both game-play and learning processes. To evaluate the possible effects of the game, an experimental study was carried out with 79 students in an elementary school in Estonia. AutoThinking and a conventional technology-enhanced learning approach were used for teaching CT to the experimental and control group, respectively. Our results reveal that AutoThinking improved students' CT skills and conceptual knowledge better than the conventional approach. It was also found that students with a low and high level of prior knowledge made higher improvement in knowledge gain using the adaptive game compared to the traditional approach, especially those students with lower prior knowledge. Finally, our findings show that the adaptive game could also improve students' learning attitude toward CT better than the conventional approach, especially those students with higher prior learning attitudes. • We developed an adaptive educational game for promoting computational thinking. • The game improved students' CT conceptual knowledge and skills. • The game improved students' learning attitude toward CT. • Students with lower prior knowledge benefited more from the game. • Students with higher prior learning attitude benefited more from the game. [ABSTRACT FROM AUTHOR] Copyright of Computers in Human Behavior is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Hooshyar, Danial; Malva, Liina; Yang, Yeongwook; Pedaste, Margus; Wang, Minhong; Lim, Heuiseok",An adaptive educational computer game: Effects on students' knowledge and learning attitude in computational thinking.,Computers in Human Behavior,114,07475632,
10.1080/10632913.2023.2185918,"Abstract Three years after Japan integrated <italic>programming</italic> into all elementary school subjects, questions remain on how policy is being put into practice in arts education. This article examines the current state of <italic>programming</italic> – activities addressing a local version of computational thinking – in music, with a focus on Japan’s pending challenges. First, an analysis of 23 activity reports sheds light on the main features of implementation efforts conducted by elementary school teachers from all over the country. Notably, compliance with official guidelines seems to have been prioritized over subject-specific contents, and, in some cases, the mere use of digital technologies in the classroom appears to be more relevant than programming and music-making goals. Following that, two key stakeholders – Japanese professionals engaged in planning and implementing <italic>programming</italic> in music in elementary schools – provide insights on its present state and future prospects through an open questionnaire. Their often-contrasting answers include perspectives on learning goals, teachers’ skills and assessment, as well as their expectations and concerns. A number of unresolved issues and tensions persist regarding how subject contents and <italic>programming</italic> should be balanced. Given this situation, final remarks address how music-centered, postdigital views of <italic>programming</italic> may inform future initiatives in the intersection of computing science and music education. [ABSTRACT FROM AUTHOR] Copyright of Arts Education Policy Review is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Taylor & Francis Ltd,"Gazzano, Alan",Stakeholders’ views on <italic>programming</italic> in Japanese elementary schools: current issues and future perspectives in music.,Arts Education Policy Review,,10632913,
